time,V_n3
0.000000000000000e+00,0.000000e+00
9.999999717180685e-10,9.708996e-21
1.999999943436137e-09,5.180756e-20
9.078491884790567e-06,4.784572e-13
1.815498376963770e-05,4.306752e-12
2.723147565448483e-05,1.148488e-11
3.630796753933196e-05,2.201285e-11
4.538445942417909e-05,3.589066e-11
5.446095130902623e-05,5.311830e-11
6.353744319387334e-05,7.369579e-11
7.598138066722051e-05,1.216968e-10
8.679015520244423e-05,1.918354e-10
9.663647974962538e-05,3.001334e-10
1.059112829959093e-04,4.742460e-10
1.148183854390074e-04,7.659904e-10
1.241550752886273e-04,1.299215e-09
1.328115703885938e-04,2.169520e-09
1.415605502124693e-04,3.707908e-09
1.499440885493749e-04,6.276070e-09
1.583605583557412e-04,1.074137e-08
1.666032657947302e-04,1.829238e-08
1.748659304614425e-04,3.132089e-08
1.830485487210754e-04,5.349523e-08
1.912447493152902e-04,9.161085e-08
1.994048683420712e-04,1.566872e-07
2.075743372065844e-04,2.683365e-07
2.157283957215498e-04,4.592505e-07
2.238893486778497e-04,7.864846e-07
2.320451434939139e-04,1.346446e-06
2.402072826078522e-04,2.305770e-06
2.483707909460505e-04,3.947897e-06
2.565431314906616e-04,6.760349e-06
2.647249013207332e-04,1.157494e-05
2.729250631427346e-04,1.981853e-05
2.811528528717796e-04,3.392831e-05
2.894279206406905e-04,5.807762e-05
2.977804187078762e-04,9.939924e-05
3.062628567544792e-04,1.701191e-04
3.149604640210172e-04,2.912751e-04
3.240127356654034e-04,4.995745e-04
3.336405760029479e-04,8.603347e-04
3.441656604263832e-04,1.492457e-03
3.561485834791490e-04,2.627874e-03
3.704168542958675e-04,4.732449e-03
3.883417926118083e-04,8.813078e-03
4.123431195636926e-04,1.715873e-02
4.449878938464138e-04,3.401351e-02
4.854743437438176e-04,6.445497e-02
5.443793612352974e-04,1.279270e-01
6.335679839960645e-04,2.593200e-01
7.335679839960645e-04,4.494221e-01
8.335679839960645e-04,6.810338e-01
9.335679839960646e-04,9.484059e-01
1.033567983996065e-03,1.245042e+00
1.133567983996065e-03,1.565237e+00
1.233567983996065e-03,1.904048e+00
1.333567983996065e-03,2.257208e+00
1.433567983996065e-03,2.621025e+00
1.533567983996065e-03,2.992301e+00
1.633567983996065e-03,3.368258e+00
1.733567983996065e-03,3.746478e+00
1.933567983996065e-03,4.501497e+00
2.133567983996065e-03,5.243297e+00
2.333567983996064e-03,5.960841e+00
2.533567983996064e-03,6.645308e+00
2.833567983996063e-03,7.594646e+00
3.133567983996063e-03,8.434527e+00
3.433567983996062e-03,9.150387e+00
3.733567983996062e-03,9.731287e+00
4.033567983996062e-03,1.016957e+01
4.333567983996063e-03,1.046119e+01
4.433567983996063e-03,1.052585e+01
4.533567983996063e-03,1.057464e+01
4.633567983996063e-03,1.060821e+01
4.733567983996064e-03,1.062777e+01
4.833567983996064e-03,1.063628e+01
4.893153540453678e-03,1.063673e+01
4.966086308041842e-03,1.063414e+01
4.993623456926194e-03,1.063269e+01
5.014923776664472e-03,1.063140e+01
5.036081634070988e-03,1.063006e+01
5.057654480756080e-03,1.062866e+01
5.077277023485135e-03,1.062737e+01
5.098403889716270e-03,1.062596e+01
5.118291663315115e-03,1.062463e+01
5.136868705743905e-03,1.062338e+01
5.155682777507582e-03,1.062211e+01
5.173243602504306e-03,1.062093e+01
5.191261366486262e-03,1.061971e+01
5.208265918842090e-03,1.061856e+01
5.226741822578065e-03,1.061731e+01
5.248252057830940e-03,1.061585e+01
5.273129442230661e-03,1.061417e+01
5.303475326137367e-03,1.061211e+01
5.341745099442063e-03,1.060952e+01
5.394078392419188e-03,1.060598e+01
5.472458248025229e-03,1.060068e+01
5.572458248025229e-03,1.059392e+01
5.672458248025230e-03,1.058716e+01
5.772458248025230e-03,1.058041e+01
5.872458248025230e-03,1.057366e+01
5.972458248025230e-03,1.056692e+01
